Rank,Name,Employee Count,Twitter,Potential Partner,Services,Website,LinkedIn,CRN Page
69,ThunderCat Technology,52,https://twitter.com/ThunderCat_Tech,,"Systems Integrator, IT Solutions and Services, Data Storage, Networking, Applications, Cyber Security, and Big Data",http://www.thundercattech.com/,http://www.linkedin.com/company/thundercat-technology,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=69
103,Blue Tech,45,https://twitter.com/BlueTechInc,,NA,http://www.bluetech.com/,https://www.linkedin.com/company/blue-tech/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=103
198,CANCOM HPM Networks,88,https://twitter.com/HPMnetworks,,"HP, Blades, BladeSystem, VMware, Networking, Services, Storage, Spares Management (Spares Locker), Virtualization, Security, Cloud Computing, Citrix, Desktop Virtualization, OpenStack, SAN, and Hyperscale / Web 2.0",http://www.hpmnetworks.com/,https://www.linkedin.com/company/82248/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=198
109,IIS Technology,79,https://twitter.com/IISTech,,"Project Management, Converged Infrastructure, Cloud Systems (Private and Hybrid), Storage Architecture & Data Protection, Data Center Operations & Automation, Data Center Services, Systems Integration, and Enterprise Application Infrastructure",http://www.iisl.com/,http://www.linkedin.com/company/434478?trk=tyah,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=109
111,Worldcom Exchange (WEI),91,https://twitter.com/wei_com,,"Server / Storage Solutions, Cloud & Virtualization, Networking & Security, Technology Solution and Service Provider, Big Data Infrastructure, and Mobility & End User Computing",http://www.wei.com/,https://www.linkedin.com/company/635601,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=111
125,Dynamix,77,https://twitter.com/Dynamix_Mix,1,"IT Solutions, Storage, Data Center Infrastructure, Networking, Data Protectoin, IT Maintenance, IT Security, and Technical Advisory",http://www.dynamixgroup.com/,https://www.linkedin.com/company/dynamix-group,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=125
128,Advanced Computer Concepts (ACC),65,NA,,"IT Products and Services, IT Security Solutions, Audio Visual Solutions, Cisco, HP, Lenovo, SMART Technology, Dell, RSA, Palo Alto Networks, Checkpoint, Crestron, VMWare, and RedHat",http://www.acc.net/,https://www.linkedin.com/company/advanced-computer-concepts/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=128
141,Copper River IT,99,https://twitter.com/CopperRiverIT,,"Cyber Security, Virtualization, Cloud, Data Center, Enterprise Wireless Networks, Acquisition Support, Data Center & Cloud, Testing & Troubleshooting, Help Desk, Admin Support, and Program Management",http://www.copperriverit.com/,https://www.linkedin.com/company/334481?trk=tyah,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=141
142,Mercom Corporation,90,https://twitter.com/mercomcorp,1,"""We Innovate Government""​, Solutions Provider, and IT Products and Services",http://www.mercomcorp.com/,https://www.linkedin.com/company/145728/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=142
148,Lumenate,55,https://twitter.com/Lumenate,1,"Storage & Virtualization, Security & Compliance, Networking & Collaboration, and Cloud & Connectivity",http://www.lumenate.com/,https://www.linkedin.com/company/lumenate/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=148
163,Dasher Technologies,73,https://twitter.com/dashertech,1,"High Performance Computing, Open Source Linux, EDA, Data Center, Reseller, State and Local Government, High Education, DCC, IT Solutions, Cyber Security, Cloud, Big Data, Services, Networking, Software, Storage, Converged, HPE Partner, IT Support Renewal, Hybrid IT, SLED, System Integration, DellEMC Partner, and Cisco Partner",http://www.dasher.com/,http://www.linkedin.com/company/142802,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=163
165,FlexITy Solutions,99,https://twitter.com/goFlexITy,1,"service provider, storage, Cisco, network operations, voice & data services, technical assistance, unified communications, ITIL, Microsoft, VMware, disaster recovery, testing, Oracle, integration, CLEC, project governance, CRTC, secure telecom, IT solutions, and managed services",http://www.flexity.ca/,http://www.linkedin.com/company/flexity-solutions-inc.,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=165
167,DKW Communications,97,https://twitter.com/DKW_CommInc,1,"Applications Development, Software and Systems Engineering, Information Management, and Facilities and Administrative Services",http://www.dkwcommunications.com/,https://www.linkedin.com/company/dkw-communications-inc-/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=365
168,Evolving Solutions,81,https://twitter.com/EvolvingSol,1,"Server and Storage Virtualization, Server and Storage Consolidation, Business Continuity, Disaster Recovery planning, Green IT, and Cloud Computing",http://www.evolvingsol.com/,https://www.linkedin.com/company/evolving-solutions,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=168
175,"Integrated Data Storage, LLC",27,https://twitter.com/IDSforward,1,"data storage, managed services, cloud services, information technology, deduplication, virtualization, replication, backup, disaster recovery, san, nas, emc, commvault, data domain, vmware, symantec, Cleversafe, VMware, cisco, and cisco ucs",http://www.idsforward.com/,https://www.linkedin.com/company/83045?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1433858506756%2Ctas%3AIDS%20-%20IT%20Solution,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=175
177,eGroup,97,https://twitter.com/eGroup_Inc,,"Sales Promotions, Loyalty Programs, Event & Promotional Merchandise, Motorsports Marketing, Email & Social Media Marketing, Website Development, Fulfillment & Warehouse Services, Online Company Stores & Training, Design & Production, and Print-on-Demand Solutions",http://www.egroup-us.com/,https://www.linkedin.com/company/1887697/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=423
185,Advanced Systems Group (ASG),84,https://twitter.com/Virtual_com,,"Enterprise Storage, Data Center Optimization, Virtualization, DR/BC, Cloud Computing, Networking, and Data Security",http://www.virtual.com/,https://www.linkedin.com/company/advancedsystemsgroup,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=185
187,Golden Star Technology (GST),84,NA,,"Technology Consulting, Managed Services, Infrastructure Integration and Services, Sourcing and Fulfillment, Audio Visual Solutions, IT Consulting, Networking, and Security",http://www.gstes.com/,https://www.linkedin.com/company/golden-star-technology-gst/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=187
191,SKC Communications,13,https://twitter.com/SKCComm,,NA,http://www.skccom.com/,http://www.linkedin.com/company/skc,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=191
195,Bedrock Technology Partners,18,https://twitter.com/BedrockTech,,"IT Solutions Architecture, IT Consulting, IT Sales, Cloud, Security, DevOps, Storage, Networking, Software Defined IT, Virtualization, and Route/Switch",http://www.bedrock-tech.com/,https://www.linkedin.com/company/bedrock-technology-partners/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=195
206,PCPC Direct,76,https://twitter.com/PCPCDirect,,"Managed Services, Virtualization, Networking Architecture, Security, Storage Solutions, Data Protection, Servers, and High Performance Computing",http://www.pcpcdirect.com/,https://www.linkedin.com/company/pcpc-direct-ltd-/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=206
212,Strategic Communications,45,https://twitter.com/YourStrategic,,"Technology Solutions, Network & Structured Cabling, Voice & Data Network, Wireless Network, Audio/Video Solutions, Video conferencing Solutions, Computer Equipment & Maintenance, IT Equipment & Maintenance, Cloud Services, and Unified Communications and Collaboration",http://www.yourstrategic.com/,https://www.linkedin.com/company-beta/2879049/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=212
214,Internetwork Engineering (IE),78,https://twitter.com/ineteng,,"Collaboration Technologies, Network Security & Compliance, Data Storage, Converged & Hyper-Converged Infrastructure, Cloud Storage & Computing, Intelligent Networks, Mobile Device Management, Consulting & Implementation Services, and Elastic Engineering Services",http://www.ineteng.com/,https://www.linkedin.com/company/internetwork-engineering,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=214
215,Nexum,95,https://twitter.com/NexumInc,,"Network Security Products, Professional Services, Managed Security Services, Support, and Training",http://www.nexuminc.com/,http://www.linkedin.com/company/nexum-inc,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=215
216,Paragon Micro,85,NA,,"Security and Risk Mitigation, Big Data, Virtualization, Storage, Managed and Professional Services, and Technology Procurement",http://www.paragonmicro.com/,http://www.linkedin.com/company/paragon-micro,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=216
218,PCi Tec,8,https://twitter.com/TecPCi,,"Cybersecurity Services, Managed Deployment Services, Professional Services, IT Hardware, IT Software, IT Peripherals, Advanced Threat Hunting, Endpoint Protection, Privileged Access Management, NGFW, Identity Management (ICAM/PAM), Compromise Assessments, Encryption, Security Information and Event Management (SIEM) Tools, Data Forensics, Intrusion Detection and Prevention Systems (IDS and IPS), Remediation, Advanced Firewalls, Insider Threat Protection, and Application Development Security",http://www.pcitec.com/,https://www.linkedin.com/company-beta/24792692/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=218
233,Abacus Solutions,71,https://twitter.com/AbacusWeGetIT,,"IT Solutions, IT Services, IT Products, Disaster Recovery, Network Performance, Managed Services, Business Continuity, Data Hosting Solutions, Data Center Support, New and Used Servers, Networking Equipment, and Third Party Maintenance",http://www.abacusllc.com/,https://www.linkedin.com/company/abacus-solutions/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=233
234,Blue Chip Tek,40,https://twitter.com/bluechiptek,,"Systems & Virtualization, Networking, Storage & Backup, and Security",http://www.bluechiptek.com/,https://www.linkedin.com/company/bluechiptek,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=234
235,Sovereign Systems,48,https://twitter.com/SovSystems,,"Cloud Computing, Storage, Automation, Orchestration & Lifecycle Management, Data Protection, Hybrid Cloud, Healthcare IT, Managed Services, IT as a Service, and Cloud Brokerage Services",http://www.sovsystems.com/,https://www.linkedin.com/company/sovereign-systems,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=235
236,Three Wire Systems,95,https://twitter.com/threewiresys,,"Information Assurance, Application Development , NextGen Engagement Platform, Infrastructure & Operations, Human Performance Coaching (VetAdvisor Program), Human Capital Management, Telehealth, Transition Support Services, IT Modernization, and Health IT",http://www.threewiresys.com/,https://www.linkedin.com/company/three-wire-systems,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=236
239,TSA,70,https://twitter.com/TSAincorporated,,"Hybrid IT, Managed Services, Networking, Security, Analytics, and Mobility",http://www.tsa.com/,https://www.linkedin.com/company/technical-&-scientific-application-inc--tsa-,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=239
240,GTS Technology Solutions,81,https://twitter.com/GTS_TechSol,,"IT staffing, IT services and support, customized technology solutions, hardware, software, and rugged, installations",http://www.gts-ts.com/,https://www.linkedin.com/company/gts-technology-solutions,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=240
245,CB Technologies,77,https://twitter.com/cbtechinc,,"Cloud Computing, Infrastructure Management, Big Data, Analytics, Asset Intelligence, Software-Defined IT, High Performance Computing, B2B Solutions, Education Technology, IT Services, and IT Procurement",http://www.cbtechinc.com/,https://www.linkedin.com/company/162920?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A162920%2Cidx%3A2-1-2%2CtarId%3A1485898533390%2Ctas%3Acb%20technolo,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=245
